location_description,Area,Building,Campus,Company,Facility,Room,Site,location_full_name,test_type_code,test_type_desc,site_description,metric_nm,metric_id,group_map_json_obj
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,Brutschrank 1818464 außen,% CRR,11,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Brutschrank 1818464 außen""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,"Türe zu R.131, links neben Griff auf Schulterhöhe",% CRR,12,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türe zu R.131, links neben Griff auf Schulterhöhe""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,Glasfläche von Türe zu Materialschleuse R.132,% CRR,13,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Glasfläche von Türe zu Materialschleuse R.132""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,Glasfenster von Türe zu Lagerraum R.109,% CRR,14,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Glasfenster von Türe zu Lagerraum R.109""}]"
Personalschleuse Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_131,ACTIVEAIR_AA,LI_VIABAIR_TSA,reine Seite Mitte,% CRR,15,"[{""location_description"":""Personalschleuse Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_131"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""reine Seite Mitte""}]"
Personalschleuse Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_131,SURFACE_AA,LI_VIABSURF_TSA,Wand oberhalb von Desinfektionsmittelspender,% CRR,16,"[{""location_description"":""Personalschleuse Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_131"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Wand oberhalb von Desinfektionsmittelspender""}]"
Personalschleuse Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_131,SURFACE_AA,LI_VIABSURF_TSA,Türe unterhalb von Spiegel,% CRR,17,"[{""location_description"":""Personalschleuse Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_131"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türe unterhalb von Spiegel""}]"
Materialdurchreiche Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Materialdurchreiche Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_132,ACTIVEAIR_AA,LI_VIABAIR_TSA,Mitte der Durchreiche,% CRR,18,"[{""location_description"":""Materialdurchreiche Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialdurchreiche Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_132"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Mitte der Durchreiche""}]"
Materialdurchreiche Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Materialdurchreiche Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_132,SURFACE_AA,LI_VIABSURF_TSA,Wand innerhalb der Materialdurchreiche,% CRR,19,"[{""location_description"":""Materialdurchreiche Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialdurchreiche Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_132"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Wand innerhalb der Materialdurchreiche""}]"
Materialdurchreiche Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Materialdurchreiche Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_132,ORG,LI_Org ID (MOLD),Wand innerhalb der Materialdurchreiche,% CRR,20,"[{""location_description"":""Materialdurchreiche Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialdurchreiche Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_132"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Wand innerhalb der Materialdurchreiche""}]"
