location_description,Area,Building,Campus,Company,Facility,Room,Site,location_full_name,test_type_code,test_type_desc,site_description,metric_nm,metric_id,group_map_json_obj
Inkubation/Auswertung,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Inkubation/Auswertung,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_122,SURFACE_AA,LI_VIABSURF_TSA,Front Brutschrank,% CRR,70,"[{""location_description"":""Inkubation/Auswertung"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Inkubation/Auswertung"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_122"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Front Brutschrank""}]"
Inkubation/Auswertung,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Inkubation/Auswertung,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_122,SURFACE_AA,LI_VIABSURF_TSA,Tisch / Arbeitsfläche bei Sichtfenster,% CRR,71,"[{""location_description"":""Inkubation/Auswertung"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Inkubation/Auswertung"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_122"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Tisch / Arbeitsfläche bei Sichtfenster""}]"
Inkubation/Auswertung,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Inkubation/Auswertung,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_122,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.140A,% CRR,72,"[{""location_description"":""Inkubation/Auswertung"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Inkubation/Auswertung"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_122"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.140A""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,ACTIVEAIR_AA,LI_VIABAIR_TSA,im Bereich der Türe,% CRR,73,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""im Bereich der Türe""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,ORG,LI_Org ID (MOLD),im Bereich der Türe,% CRR,74,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""im Bereich der Türe""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,ACTIVEAIR_AA,LI_VIABAIR_TSA,im Bereich der Fensterfront,% CRR,75,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""im Bereich der Fensterfront""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,ORG,LI_Org ID (MOLD),im Bereich der Fensterfront,% CRR,76,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""im Bereich der Fensterfront""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,SURFACE_AA,LI_VIABSURF_TSA,Mittelarbeitsplatz Glasstellfläche oben,% CRR,77,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Mittelarbeitsplatz Glasstellfläche oben""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,SURFACE_AA,LI_VIABSURF_TSA,Kastenfront Nähe Gang R.140A,% CRR,78,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Kastenfront Nähe Gang R.140A""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,SURFACE_AA,LI_VIABSURF_TSA,Tisch / Arbeitsfläche bei Sichtfenster,% CRR,79,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Tisch / Arbeitsfläche bei Sichtfenster""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,ORG,LI_Org ID (MOLD),Tisch / Arbeitsfläche bei Sichtfenster,% CRR,80,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Tisch / Arbeitsfläche bei Sichtfenster""}]"
Proben-Erfassung/Ansatz,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Proben-Erfassung/Ansatz,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.140A,% CRR,81,"[{""location_description"":""Proben-Erfassung/Ansatz"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Proben-Erfassung/Ansatz"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_123"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.140A""}]"
Personalschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125,ACTIVEAIR_AA,LI_VIABAIR_TSA,Mitte auf Seite QM,% CRR,82,"[{""location_description"":""Personalschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Mitte auf Seite QM""}]"
Personalschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.140A,% CRR,83,"[{""location_description"":""Personalschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.140A""}]"
Personalschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125,SURFACE_AA,LI_VIABSURF_TSA,Kastenfront seitlich (Seite QM),% CRR,84,"[{""location_description"":""Personalschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Kastenfront seitlich (Seite QM)""}]"
Personalschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125,SURFACE_AA,LI_VIABSURF_TSA,Spiegel,% CRR,85,"[{""location_description"":""Personalschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_125"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Spiegel""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,ACTIVEAIR_AA,LI_VIABAIR_TSA,Raummitte,% CRR,86,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Raummitte""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,ORG,LI_Org ID (MOLD),Raummitte,% CRR,87,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Raummitte""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,SURFACE_AA,LI_VIABSURF_TSA,Regalboden rechts,% CRR,88,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Regalboden rechts""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,ORG,LI_Org ID (MOLD),Regalboden rechts,% CRR,89,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Regalboden rechts""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,SURFACE_AA,LI_VIABSURF_TSA,Regalboden links,% CRR,90,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Regalboden links""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,ORG,LI_Org ID (MOLD),Regalboden links,% CRR,91,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Regalboden links""}]"
Kühllager,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Kühllager,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126,SURFACE_AA,LI_VIABSURF_TSA,Kühlraumtüre in Richtung R.140A,% CRR,92,"[{""location_description"":""Kühllager"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Kühllager"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_126"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Kühlraumtüre in Richtung R.140A""}]"
Materialschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Materialschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127,ACTIVEAIR_AA,LI_VIABAIR_TSA,Mitte auf Seite QM,% CRR,93,"[{""location_description"":""Materialschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Mitte auf Seite QM""}]"
Materialschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Materialschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127,ORG,LI_Org ID (MOLD),Mitte auf Seite QM,% CRR,94,"[{""location_description"":""Materialschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Mitte auf Seite QM""}]"
Materialschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Materialschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe R.140A,% CRR,95,"[{""location_description"":""Materialschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe R.140A""}]"
Materialschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Materialschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127,SURFACE_AA,LI_VIABSURF_TSA,Wand bei Desinfektionsmittel,% CRR,96,"[{""location_description"":""Materialschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Wand bei Desinfektionsmittel""}]"
Materialschleuse,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Materialschleuse,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127,ORG,LI_Org ID (MOLD),Wand bei Desinfektionsmittel,% CRR,97,"[{""location_description"":""Materialschleuse"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Materialschleuse"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_127"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Wand bei Desinfektionsmittel""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,ACTIVEAIR_AA,LI_VIABAIR_TSA,Gang mittig zwischen Zugang zu R.107 und R.108,% CRR,98,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Gang mittig zwischen Zugang zu R.107 und R.108""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,ORG,LI_Org ID (MOLD),Gang mittig zwischen Zugang zu R.107 und R.108,% CRR,99,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Gang mittig zwischen Zugang zu R.107 und R.108""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,ACTIVEAIR_AA,LI_VIABAIR_TSA,Gang mittig zwischen Zugang zu R.122 und R.123,% CRR,100,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Gang mittig zwischen Zugang zu R.122 und R.123""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,ORG,LI_Org ID (MOLD),Gang mittig zwischen Zugang zu R.122 und R.123,% CRR,101,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Gang mittig zwischen Zugang zu R.122 und R.123""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,ACTIVEAIR_AA,LI_VIABAIR_TSA,zwischen den Türe zu R.124 + R.127,% CRR,102,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""zwischen den Türe zu R.124 + R.127""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,ORG,LI_Org ID (MOLD),zwischen den Türe zu R.124 + R.127,% CRR,103,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""zwischen den Türe zu R.124 + R.127""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.107,% CRR,104,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.107""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.122,% CRR,105,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.122""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.125,% CRR,106,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.125""}]"
Gang,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Gang,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.126,% CRR,107,"[{""location_description"":""Gang"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Gang"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_140A"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.126""}]"
